Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"Cahiers de Linguistique Hispanique Médiévale","si","N/A","N/A","N/A","N/A","Abierto","N/A","Otros","2011-00-00","N/A","N/A","N/A","N/A","Filología española ; Literatura medieval","Disponible en formato impreso: 1976-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cahiers internationaux de sociologie","no","N/A","http://www.jstor.org/action/showPublication?journalCode=cahintsoc","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","2010-00-00","Francés","CES","Sociología","N/A","Sociología","Le premier volume des Cahiers internationaux de Sociologie parut à l’automne 1946 ; fondée par Georges Gurvitch, la revue est alors la seule à prendre en charge une sociologie française renaissante après les années de guerre. Dans le volume inaugural, Gurvitch précise sa conception de la « vocation actuelle de la sociologie ». La dimension internationale est soulignée dès l’origine, de même que l’exigence de favoriser l’étude de la « société présente » et de créer de nouveaux instruments de recherche. C’est en ce sens que l’insistance est portée sur la nécessaire relation d’échange entre disciplines des sciences sociales et humaines, sur l’ouverture de passerelles disciplinaires. 
Impreso 1949 – 2010.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cairn.info","no","N/A","http://www.cairn.info/","N/A","Base de Datos","Parcialmente Abierto","N/A","Otros","2015-00-00","Inglés  , Francés","CEE  , CEH  , CEI  , CELL  , CES","Administración Pública  , Ciencia Política  , Economía   , Historia  , Lingüística  , Literatura  , Relaciones Internacionales  , Sociología","N/A","N/A","N/A","N/A","2015-02-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Camacho Solís, Julio Ismael. La pobreza, género, envejecimiento poblacional, factores de vulnerabilidad social","no","N/A","http://textosdeinvestigacion.unach.mx/ebooksbd/20151021_163440/#p=4","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Español","CES","Demografía    , Sociología","N/A","Pobreza -- México","En el libro se presentan los cambios en el envejecimiento de la población y los factores de riesgo que le afectan.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridge Journals","no","N/A","http://journals.cambridge.org/action/login","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","2014-00-00","Inglés","CEAA  , CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General","Ciencia Política  , Economía   , Historia  , Lingüística  , Literatura  , Medio Ambiente  , Relaciones Internacionales  , Religión  , Sociología","N/A","Revistas científicas ; Bases de datos","Base de datos que reúne las revistas del editor Cambridge y que abarca diversas áreas del conocimiento. Se trata de revistas arbitradas de gran prestigio internacional.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canadian Journal of Sociology","no","N/A","http://ejournals.library.ualberta.ca/index.php/CJS/index","N/A","Publicación periódica","Abierto","N/A","Otros","N/A","Inglés","CES","Sociología","N/A","Sociología -- Canadá","Publica artículos de investigación rigurosamente revisados por expertos y ensayos teóricos innovadores por científicos sociales de todo el mundo, proporcionando información sobre los problemas que enfrenta la sociedad canadiense, así como los sistemas sociales y culturales en otros países.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Caravelle","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=caravelle","N/A","N/A","Parcialmente Abierto","N/A","Otros","2010-00-00","N/A","N/A","N/A","N/A","Estudios latinoamericanos ; Revistas","Publicación arbitrada especializada en estudios latinoamericanos. Cubre una amplia diversidad de temas como historia, economía, antropología y sociedad, entre otros. Disponible en formato impreso: 1963-2011 (con algunos faltantes).","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cardus: Revista de Estudios Urbanos","no","N/A","http://revistacardus.com/?p=55","N/A","Publicación periódica","Abierto","N/A","Otros","2010-00-00","Español","CEDUA","Estudios Urbanos","N/A","Ciudades y pueblos ; Urbanismo ; Arquitectura","Revista digital que publica artículos sobre cultura urbana y arquitectónica en México y América Latina desde una perspectiva multidisciplinaria de áreas como economía, sociología, urbanismo y sustentabilidad, entre otras.","N/A","2015-05-25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cajas de la Real Hacienda de la América española, siglos XVI a principios del siglo XIX","no","si","http://realhacienda.colmex.mx/","N/A","Base de Datos","Abierto","N/A","El Colegio de México","N/A","Español","CEH","Historia","N/A","Finanzas públicas ; España ; América ; Historia","Reúne la información de las Cajas Reales de la Real Hacienda para la América hispánica entre el siglo XVI y 1824. Las tesorerías de la Real Hacienda se fundaron en casi todos los territorios dominados por el imperio español, dentro del Nuevo Mundo.

La documentación elaborada permite hacer diversos ejercicios de investigación y docencia de utilidad para profesores y alumnos en historia económica de Hispanoamérica en la época colonial. Incluye buscador, glosario y liga a un curso en línea.","N/A","2014-10-08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canadian journal of  african studies","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=canajafristudrev","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2008-00-00","N/A","N/A","N/A","N/A","Africa; Revistas","Publica artículos, principalmente en las áreas de la antropología, la economía política, la historia, la geografía y el desarrollo del continente. Muchos de los artículos son de enfoque interdisciplinario, especialmente las que tratan de evaluar los orígenes, la naturaleza y el éxito de las estrategias de desarrollo. Una sección de la función continua llamada |Debates y Comentarios / Débats et commentaires| presenta los puntos de vista divergentes sobre cuestiones de actualidad, los cuales permiten al lector mantenerse al corriente de opinión informada sobre las cuestiones relacionadas con las políticas. Las notas de investigación ocasionales han permitido a los estudiantes universitarios, académicos reconocidos, y los responsables de políticas públicas para mantenerse en contacto con las últimas fuentes de la escritura, de opinión y de investigación sobre temas africanos. Una sección de ensayo de reseñas de libros y revisión completa cada tema con las críticas concisas de libros recientes y los informes sobre el continente o regiones individuales o países.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canadian journal of political science","no","N/A","http://journals.cambridge.org/action/displayJournal?jid=cjp","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2013-12-00","N/A","N/A","N/A","N/A","Ciencia política ; Política ; Gobierno","La revista ofrece artículos originales de investigación, notas, comentarios, artículos de revisión y reseñas de libros en todas las áreas de la ciencia política, incluyendo pero no limitado a: la historia del pensamiento político, la teoría política contemporánea, las relaciones internacionales y la política exterior, las instituciones y los procesos gubernamentales ; comportamiento político, la administración pública y la política pública, y las mujeres y la política. Además, el Canadian Journal of Political Science / Revue canadienne de politique es el principal foro para la investigación innovadora en todas las facetas de la política canadiense y el gobierno, así como la salida principal de la beca canadiense ciencias políticas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canadian public administration","ambos","N/A","http://ejournals.ebsco.com/journal2.asp?journalid=715070","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2011-00-00","N/A","N/A","N/A","N/A","Administración pública ; Gobierno ; Canadá","Publicación académica arbitrada del Instituto de Administración Pública de Canadá (IPAC). Cubre las funciones ejecutivas, legislativas, judiciales y cuasi-judiciales en los tres niveles de gobierno canadiense. Publicada trimestralmente, la revista se centra principalmente en temas canadienses, sino también da la bienvenida a los manuscritos que se comparan las instituciones y las prácticas del sector público de Canadá con los de otros países o de examinar las cuestiones que en otros países u organizaciones internacionales que son de interés para la comunidad de la administración pública en Canadá.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Caribbean abstracts","no","N/A","http://www.columbia.edu/cu/lweb/eresources/databases/5989333.html","N/A","Base de Datos","Abierto","N/A","Otros","2014-03-05","Inglés","CEH  , CEI  , CEDUA","Relaciones Internacionales  , Medio Ambiente  , Literatura  , Lingüística  , Historia  , Bibliotecología  , Estudios Urbanos   , Demografía    , Sociología","N/A","Humanidades ; Ciencias sociales ; Área del Caribe","Catálogo que contiene resúmenes en inglés de libros y artículos sobre el Caribe, relacionados con las humanidades y las ciencias sociales desde 1989. Se incluyen todas las islas del archipiélago del Caribe, así como los territorios continentales de Belice y las Guayanas. Sitio también disponible en holandés.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Carlos Fuentes Papers","no","N/A","http://findingaids.princeton.edu/collections/C0790","N/A","Sitio Web","Abierto","N/A","Princeton University","2012-00-00","Inglés","CELL","Literatura","N/A","Carlos Fuentes ; Archivos personales","La colección de documentos de Carlos Fuentes, bajo el resguardo de la Biblioteca de la Universidad de Princenton comprende: cuadernos, manuscritos de novelas, novelas, cuentos, obras teatrales, guiones cinematográficos, discursos, traducciones, correspondencia, dibujos, fotografías, grabaciones, libros de recuerdos y diarios. Escritas en español, inglés, francés y alemán desde 1950 hasta 1993.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Carn.info : chercher, repérer, avancer","no","N/A","http://www.cairn.info/","N/A","Base de Datos","Parcialmente Abierto","N/A","Otros","2015-00-00","Inglés  , Francés","CEI","General (todos los centros)","N/A","N/A","N/A","N/A","2015-02-20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cartillas de Lectoescritura para la alfabetización indígena","no","si","http://cartillasindigenas.colmex.mx/","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CELL","Lenguaje y Lenguas (Estudio y enseñanza)","N/A","Indios ; Lenguas ; México ; Estudio y enseñanza","Ofrece acceso a las cartillas de lectoescritura publicadas por el Instituto Ligüístico de Verano desde 1940 hasta 1980. Muchos de los originales de estas cartillas se encuentran en el acervo de la Biblioteca Daniel Cosío Villegas de El Colegio de México.","N/A","2015-03-03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cartografía de Brasil (1700-1822)","no","N/A","http://purl.pt/103/1/index.html","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Inglés  , Portugués","CEH","Historia","N/A","Brasil ; América Latina ; Historia ; Mapas","Ofrece acceso a la colección de mapas que se conservan en las colecciones de Cartografía, iconografía y Reservados de la Biblioteca Nacional de Portugal. El proyecto, a cargo de la Comisión Nacional para la Conmemoración de los Descubrimientos Portugueses y la Biblioteca Nacional, se desarrolló durante dos años 1998-2000 como parte de las celebraciones de los 500 años del descubrimiento de Brasil. Incluye un catálogo digital en que se puede buscar por autores, títulos, lugares y años. Es posible visualizar y descargar los mapas incluidos.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Casede","no","N/A","http://www.casede.org/","N/A","Sitio Web","Abierto","N/A","Otros","2015-00-00","Español","CEI","Ciencia Política  , Relaciones Internacionales","N/A","Seguridad Humana ; Democracia","CASEDE ha mantenido actividades regularmente y se ha posicionado como un referente en temas de seguridad y democracia. Durante 2006, el Colectivo organizó una serie de foros, conferencias de prensa y otras actividades que confirmaron la necesidad de que la experiencia y conocimientos acumulados de sus miembros podían aportar elementos que contribuyan a la seguridad y la democracia en México.","N/A","2015-05-08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Catalog of U.S. Government Publications","no","N/A","http://catalog.gpo.gov/F/A9E41T24EK4VUQYXBYB6HKEF65PD3QS2RNBLG1HF25B6B6FVFA","N/A","N/A","Abierto","N/A","Otros","20140901","N/A","N/A","N/A","N/A","Documentos oficiales ; Estados Unidos","Ofrece acceso al texto completo de algunas publicaciones federales del gobierno de Estados Unidos.","N/A","2014-09-01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Casa de Rui Barbosa","no","N/A","http://www.casaruibarbosa.gov.br/cordel/","N/A","Obra de referencia","Falta determinar","N/A","Otros","N/A","Portugués","CELL","Literatura","N/A","Literatura popular ;  Poesía popular ; Brasil ; Literatura brasileña","La Colección de la Fundación Casa de Rui Barbosa sobre literatura popular y versos es una de las más grandes de América Latina, con más de 9.000 folletos, sobre temas tan diversos como las aventuras de caballería, las narrativas de amor y sufrimiento, historias de animales, las aventuras y travesuras de los héroes y las historias maravillosas, que llegaron mediante la literatura oral de la Península Ibérica y que la memoria popular se comprometió a preservar y transmitir.
Permite la consulta a una extensa bibliografía y un catálogo que incluyen artículos, tesis, libros, antologías y estudios especializados. Así como un apartado sobre los poetas participes de este movimiento a principios del siglo XX.","N/A","2014-11-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
